Object Type,Property,Name,English [en-US],Spanish [es-ES]
Table,Caption,Ingresos y Gastos,Ingresos y Gastos,Ingresos y Gastos
Column,Caption,Ingresos y Gastos[CD_CUENTA],CD_CUENTA,CD_CUENTA
Column,Caption,Ingresos y Gastos[NM_IMPORTE],NM_IMPORTE,NM_IMPORTE
Column,Caption,Ingresos y Gastos[NM_SALDO],NM_SALDO,NM_SALDO
Column,Caption,Ingresos y Gastos[FC_VALOR],FC_VALOR,FC_VALOR
Column,Caption,Ingresos y Gastos[FC_OPERACION],FC_OPERACION,FC_OPERACION
Column,Caption,Ingresos y Gastos[Tipo Movimiento],Tipo Movimiento,Tipo Movimiento
Column,Caption,Ingresos y Gastos[Vía CyP],Vía CyP,Vía CyP
Column,Caption,Ingresos y Gastos[Concepto Propio],Concepto Propio,Concepto Propio
Column,Caption,Ingresos y Gastos[DS_COMPLEMENTARIO],DS_COMPLEMENTARIO,DS_COMPLEMENTARIO
Column,Caption,Ingresos y Gastos[CD_DIVISA_ORIGEN],CD_DIVISA_ORIGEN,CD_DIVISA_ORIGEN
Column,Caption,Ingresos y Gastos[Concepto Común],Concepto Común,Concepto Común
Column,Caption,Ingresos y Gastos[IT_ANULADO],IT_ANULADO,IT_ANULADO
Column,Caption,Ingresos y Gastos[FC_ANULACION],FC_ANULACION,FC_ANULACION
Column,Caption,Ingresos y Gastos[NM_MOVIMIENTO],NM_MOVIMIENTO,NM_MOVIMIENTO
Column,Caption,Ingresos y Gastos[IT_VALIDADO],IT_VALIDADO,IT_VALIDADO
Column,Caption,Ingresos y Gastos[FC_VALIDACION],FC_VALIDACION,FC_VALIDACION
Column,Caption,Ingresos y Gastos[NM_TIPO_CAMBIO],NM_TIPO_CAMBIO,NM_TIPO_CAMBIO
Column,Caption,Ingresos y Gastos[FC_VENCIMIENTO],FC_VENCIMIENTO,FC_VENCIMIENTO
Measure,Caption,Ingresos y Gastos[Gastos],Gastos,Gastos
Measure,Caption,Ingresos y Gastos[Ingresos],Ingresos,Ingresos
Measure,Caption,Ingresos y Gastos[Saldo Movimientos],Saldo Movimientos,Saldo Movimientos
Measure,Caption,Ingresos y Gastos[SaldoMovBco],SaldoMovBco,SaldoMovBco
Table,Caption,Previsiones,Previsiones,Previsiones
Column,Caption,Previsiones[Cuenta],Cuenta,Cuenta
Column,Caption,Previsiones[CD_EMPRESA],CD_EMPRESA,CD_EMPRESA
Column,Caption,Previsiones[CD_BANCO],CD_BANCO,CD_BANCO
Column,Caption,Previsiones[EsPago],EsPago,EsPago
Column,Caption,Previsiones[Concepto CyP],Concepto CyP,Concepto CyP
Column,Caption,Previsiones[Tipo Concepto CyP],Tipo Concepto CyP,Tipo Concepto CyP
Column,Caption,Previsiones[Vía CyP],Vía CyP,Vía CyP
Column,Caption,Previsiones[Fecha Vto],Fecha Vto,Fecha Vto
Column,Caption,Previsiones[Fecha Prevista],Fecha Prevista,Fecha Prevista
Column,Caption,Previsiones[Fecha Emisión Fra],Fecha Emisión Fra,Fecha Emisión Fra
Column,Caption,Previsiones[Fecha Validación],Fecha Validación,Fecha Validación
Column,Caption,Previsiones[Importe Inicial],Importe Inicial,Importe Inicial
Column,Caption,Previsiones[Importe Previsto],Importe Previsto,Importe Previsto
Column,Caption,Previsiones[Estado],Estado,Estado
Column,Caption,Previsiones[Origen],Origen,Origen
Column,Caption,Previsiones[Tipo Previsión],Tipo Previsión,Tipo Previsión
Column,Caption,Previsiones[Tipo Documento],Tipo Documento,Tipo Documento
Column,Caption,Previsiones[Certeza],Certeza,Certeza
Column,Caption,Previsiones[Porcentaje Certeza],Porcentaje Certeza,Porcentaje Certeza
Column,Caption,Previsiones[Detalle Previsión],Detalle Previsión,Detalle Previsión
Column,Caption,Previsiones[TipoPrev],TipoPrev,TipoPrev
Measure,Caption,Previsiones[Disponible Final],Disponible Final,Disponible Final
Measure,Caption,Previsiones[Disponible Inicial],Disponible Inicial,Disponible Inicial
Measure,Caption,Previsiones[Entradas],Entradas,Entradas
Measure,Caption,Previsiones[Importe Previsión],Importe Previsión,Importe Previsión
Measure,Caption,Previsiones[Saldo final],Saldo final,Saldo final
Measure,Caption,Previsiones[Saldo inicial],Saldo inicial,Saldo inicial
Measure,Caption,Previsiones[Salidas],Salidas,Salidas
Measure,Caption,Previsiones[SoD Final],SoD Final,SoD Final
Measure,Caption,Previsiones[SoD Inicial],SoD Inicial,SoD Inicial
Measure,Caption,Previsiones[Vencida +60],Vencida +60,Vencida +60
Measure,Caption,Previsiones[Vencida 30],Vencida 30,Vencida 30
Measure,Caption,Previsiones[Vencida 60],Vencida 60,Vencida 60
Measure,Caption,Previsiones[Cobros],Cobros,Cobros
Measure,Caption,Previsiones[Pagos],Pagos,Pagos
Table,Caption,Seguridad Usuarios,Seguridad Usuarios,Seguridad Usuarios
Column,Caption,Seguridad Usuarios[Email],Email,Email
Column,Caption,Seguridad Usuarios[CD_CUENTA],CD_CUENTA,CD_CUENTA
Table,Caption,Tiempo,Tiempo,Tiempo
Column,Caption,Tiempo[Fecha],Fecha,Fecha
Column,Caption,Tiempo[Trimestre],Trimestre,Trimestre
Column,Caption,Tiempo[Año],Año,Año
Column,Caption,Tiempo[Semana del año],Semana del año,Semana del año
Column,Caption,Tiempo[Mes],Mes,Mes
Column,Caption,Tiempo[Nombre del mes],Nombre del mes,Nombre del mes
Column,Caption,Tiempo[Día de la semana],Día de la semana,Día de la semana
Column,Caption,Tiempo[Nombre del día],Nombre del día,Nombre del día
Column,Caption,Tiempo[Periodo],Periodo,Periodo
Column,Caption,Tiempo[IdPeriodo],IdPeriodo,IdPeriodo
Column,Caption,Tiempo[EnEndeudamiento],EnEndeudamiento,EnEndeudamiento
Column,Caption,Tiempo[InicioSemana],InicioSemana,InicioSemana
Column,Caption,Tiempo[último día],último día,último día
Column,Caption,Tiempo[Semana],Semana,Semana
Measure,Caption,Tiempo[Intervalo Seleccionado],Intervalo Seleccionado,Intervalo Seleccionado
Table,Caption,Selector Saldo,Selector Saldo,Selector Saldo
Column,Caption,Selector Saldo[Value],Value,Value
Table,Caption,QueryTiempo,QueryTiempo,QueryTiempo
Column,Caption,QueryTiempo[Fecha],Fecha,Fecha
Column,Caption,QueryTiempo[Trimestre],Trimestre,Trimestre
Column,Caption,QueryTiempo[Año],Año,Año
Column,Caption,QueryTiempo[Semana del año],Semana del año,Semana del año
Column,Caption,QueryTiempo[Mes],Mes,Mes
Column,Caption,QueryTiempo[Nombre del mes],Nombre del mes,Nombre del mes
Column,Caption,QueryTiempo[Día de la semana],Día de la semana,Día de la semana
Column,Caption,QueryTiempo[Nombre del día],Nombre del día,Nombre del día
Column,Caption,QueryTiempo[Periodo],Periodo,Periodo
Column,Caption,QueryTiempo[IdPeriodo],IdPeriodo,IdPeriodo
Table,Caption,Versions,Versions,Versions
Column,Caption,Versions[Version],Version,Version
Column,Caption,Versions[Revision Date/Time],Revision Date/Time,Revision Date/Time
Column,Caption,Versions[Developer Name],Developer Name,Developer Name
Column,Caption,Versions[Revision Notes (md)],Revision Notes (md),Revision Notes (md)
Column,Caption,Versions[Refresh Date/Time],Refresh Date/Time,Refresh Date/Time
Measure,Caption,Versions[UserPrincipal],UserPrincipal,UserPrincipal
Measure,Caption,Versions[UserName],UserName,UserName
Table,Caption,KAT_CUENTAS,KAT_CUENTAS,KAT_CUENTAS
Column,Caption,KAT_CUENTAS[CD_CUENTA],CD_CUENTA,CD_CUENTA
Column,Caption,KAT_CUENTAS[DS_NOMBRE_CUENTA],DS_NOMBRE_CUENTA,DS_NOMBRE_CUENTA
Column,Caption,KAT_CUENTAS[CD_CUENTA_TIPO],CD_CUENTA_TIPO,CD_CUENTA_TIPO
Column,Caption,KAT_CUENTAS[DS_BANCO],DS_BANCO,DS_BANCO
Column,Caption,KAT_CUENTAS[DS_OFICINA],DS_OFICINA,DS_OFICINA
